Iteration 1: c = ), s = srsts, state = 0
Iteration 57: c = x, s = ssrre, state = 2
Iteration 58: c = {, s = ssrrs, state = 2
Iteration 59: c = x, s = ttett, state = 3
Iteration 60: c = [, s = retee, state = 3
Iteration 61: c = {, s = ssrtt, state = 3
Iteration 62: c = ], s = retrs, state = 3
Iteration 63: c = ], s = rrter, state = 3
Iteration 64: c =  , s = trrrt, state = 3
Iteration 65: c = ), s = eterr, state = 4
Iteration 66: c = (, s = esrss, state = 4
Iteration 67: c = ), s = ssees, state = 4
Iteration 68: c = }, s = sstet, state = 4
Iteration 69: c = ), s = ssrts, state = 4
Iteration 70: c = (, s = ttsrt, state = 4
Iteration 71: c = ], s = seest, state = 4
Iteration 72: c = }, s = eeest, state = 4
Iteration 73: c = x, s = eeees, state = 4
Iteration 74: c = {, s = ertet, state = 4
Iteration 75: c = {, s = rsess, state = 4
Iteration 76: c = ], s = rrses, state = 4
Iteration 77: c = a, s = rrses, state = 4
Iteration 78: c = }, s = rrsse, state = 5
Iteration 79: c =  , s = tsest, state = 5
Iteration 80: c = ), s = rttse, state = 5
Iteration 81: c = {, s = teset, state = 5
Iteration 82: c = }, s = strre, state = 5
Iteration 83: c = }, s = setrt, state = 5
Iteration 84: c = {, s = essse, state = 5
Iteration 85: c = a, s = seret, state = 5
Iteration 86: c = (, s = tsset, state = 5
Iteration 87: c = ), s = eeess, state = 5
Iteration 88: c = }, s = ertrr, state = 5
Iteration 89: c = }, s = reest, state = 5
Iteration 90: c = }, s = tsrtt, state = 5
Iteration 91: c =  , s = rssst, state = 5
Iteration 92: c = }, s = retet, state = 5
Iteration 93: c =  , s = tresr, state = 5
Iteration 94: c =  , s = ertts, state = 5
Iteration 95: c = a, s = eerer, state = 5
Iteration 96: c =  , s = ersts, state = 5
Iteration 97: c =  , s = rsttt, state = 5
Iteration 98: c = ], s = rssee, state = 5
Iteration 99: c = x, s = tssse, state = 5
Iteration 100: c = }, s = rteer, state = 6
Iteration 101: c = x, s = eeetr, state = 7
Iteration 102: c = (, s = eesrr, state = 7
Iteration 103: c = }, s = serrs, state = 7
Iteration 104: c = a, s = setrt, state = 7
Iteration 105: c = x, s = rrree, state = 7
Iteration 106: c = {, s = ssste, state = 7
Iteration 107: c = }, s = tttet, state = 7
Iteration 108: c = ], s = ssess, state = 7
Iteration 109: c = [, s = teete, state = 7
Iteration 110: c = }, s = rsrrt, state = 7
Iteration 111: c = ], s = rstse, state = 7
Iteration 112: c = ], s = errre, state = 7
Iteration 113: c = x, s = rrees, state = 7
Iteration 114: c = x, s = esese, state = 7
Iteration 115: c =  , s = serte, state = 7
Iteration 116: c = [, s = resrr, state = 7
Iteration 117: c = x, s = eeree, state = 7
Iteration 118: c = a, s = rsest, state = 7
Iteration 119: c = (, s = srsts, state = 7
Iteration 120: c =  , s = eersr, state = 7
Iteration 121: c = (, s = srsrr, state = 7
Iteration 122: c = ], s = tetts, state = 7
Iteration 123: c = ], s = ettse, state = 7
Iteration 124: c = (, s = sttrs, state = 7
Iteration 125: c = ), s = ttste, state = 7
Iteration 126: c = {, s = rtttt, state = 8
Iteration 127: c = ), s = etees, state = 8
Iteration 128: c = }, s = stses, state = 8
Iteration 129: c = }, s = trsse, state = 8
Iteration 130: c =  , s = rrrsr, state = 8
Iteration 131: c = [, s = erert, state = 8
Iteration 132: c =  , s = tetrs, state = 8
Iteration 133: c = }, s = rrese, state = 8
Iteration 134: c = ], s = srrrt, state = 8
Iteration 135: c = x, s = eteee, state = 9
Iteration 136: c = ], s = sssts, state = 9
Iteration 137: c = {, s = rssts, state = 9
Iteration 138: c = [, s = esrte, state = 9
Iteration 139: c = a, s = stsst, state = 9
Iteration 140: c = [, s = trree, state = 9
Iteration 141: c = ], s = srrrt, state = 9
Iteration 142: c = ], s = strrt, state = 9
Iteration 143: c = ), s = ereet, state = 9
Iteration 144: c = a, s = tseer, state = 9
Iteration 145: c =  , s = srese, state = 9
Iteration 146: c = }, s = ttttr, state = 9
Iteration 147: c =  , s = sssss, state = 9
Iteration 148: c = }, s = etete, state = 9
Iteration 149: c = ), s = ertte, state = 9
Iteration 150: c = a, s = rttee, state = 9
Iteration 151: c = a, s = rrrtr, state = 9
Iteration 152: c = {, s = sssrr, state = 9
Iteration 153: c = }, s = esrse, state = 9
Iteration 154: c = x, s = tsese, state = 9
Iteration 155: c = a, s = seeet, state = 9
Iteration 156: c = {, s = stsst, state = 9
Iteration 157: c = }, s = serre, state = 9
Iteration 158: c = {, s = rstrr, state = 9
Iteration 159: c = }, s = ersss, state = 9
Iteration 160: c = a, s = rrees, state = 9
Iteration 161: c = x, s = trrss, state = 9
Iteration 162: c = x, s = rrrer, state = 9
Iteration 163: c = a, s = srtee, state = 9
Iteration 164: c = [, s = estte, state = 9
Iteration 165: c = a, s = teset, state = 9
Iteration 166: c = x, s = esrer, state = 9
Iteration 167: c = ], s = resrs, state = 9
Iteration 168: c = {, s = ertre, state = 9
Iteration 169: c = x, s = rsste, state = 9
Iteration 170: c = (, s = eeers, state = 9
Iteration 171: c = (, s = rtsee, state = 9
Iteration 172: c = (, s = terss, state = 9
Iteration 173: c = {, s = rtstr, state = 9
Iteration 174: c = ], s = trest, state = 9
Iteration 175: c = }, s = eetse, state = 9
Iteration 176: c = x, s = seees, state = 9
Iteration 177: c = a, s = rstrr, state = 9
Iteration 178: c = ), s = srerr, state = 9
Iteration 179: c = }, s = ttere, state = 9
Iteration 180: c = x, s = stese, state = 9
Iteration 181: c = ), s = trrre, state = 9
Iteration 182: c = ], s = serse, state = 9
Iteration 183: c = a, s = ttert, state = 9
Iteration 184: c = x, s = esrss, state = 9
Iteration 185: c = a, s = trers, state = 9
Iteration 186: c = {, s = tssts, state = 9
Iteration 187: c = x, s = eerst, state = 9
Iteration 188: c = {, s = ssrtt, state = 9
Iteration 189: c = }, s = rreet, state = 9
Iteration 190: c = x, s = tsrrs, state = 9
Iteration 191: c =  , s = serer, state = 9
Iteration 192: c = a, s = rsrer, state = 9
Iteration 193: c = }, s = ssets, state = 9
Iteration 194: c = a, s = ssert, state = 9
Iteration 195: c = {, s = tssts, state = 9
Iteration 196: c = (, s = sesss, state = 9
Iteration 197: c = a, s = esret, state = 9
Iteration 198: c = ), s = rstse, state = 9
Iteration 199: c = }, s = stttt, state = 9
Iteration 200: c = ), s = ttees, state = 9
Iteration 201: c = ), s = srert, state = 9
Iteration 202: c = (, s = srets, state = 9
Iteration 203: c = ), s = tstsr, state = 9
Iteration 204: c = [, s = tttts, state = 9
Iteration 205: c = [, s = ssstt, state = 9
Iteration 206: c = }, s = teere, state = 9
Iteration 207: c = a, s = trret, state = 9
Iteration 208: c = (, s = sseee, state = 9
Iteration 209: c = {, s = errrt, state = 9
Iteration 210: c = a, s = teeee, state = 9
Iteration 211: c = [, s = srste, state = 9
Iteration 212: c = ), s = trtte, state = 9
Iteration 213: c = ], s = stetr, state = 9
Iteration 214: c =  , s = reses, state = 9
Iteration 215: c = (, s = retet, state = 9
Iteration 216: c = (, s = eeetr, state = 9
Iteration 217: c = }, s = ttsss, state = 9
Iteration 218: c = x, s = ertst, state = 9
Iteration 219: c = ], s = rrese, state = 9
Iteration 220: c = [, s = reers, state = 9
Iteration 221: c = [, s = rteet, state = 9
Iteration 222: c =  , s = tsrsr, state = 9
Iteration 223: c = [, s = setet, state = 9
Iteration 224: c = {, s = etsts, state = 9
Iteration 225: c = (, s = ssrts, state = 9
Iteration 226: c = x, s = ttsrr, state = 9
Iteration 227: c = (, s = ertes, state = 9
Iteration 228: c = }, s = rrete, state = 9
Iteration 229: c = a, s = etrrs, state = 9
Iteration 230: c = [, s = trrrr, state = 9
Iteration 231: c = {, s = stsrr, state = 9
Iteration 232: c = a, s = eesrt, state = 9
Iteration 233: c = ), s = rtres, state = 9
Iteration 234: c = ), s = eteet, state = 9
Iteration 235: c = ], s = tttrt, state = 9
Iteration 236: c = [, s = tetes, state = 9
Iteration 237: c = a, s = ttrsr, state = 9
Iteration 238: c = (, s = srste, state = 9
Iteration 239: c = (, s = esrsr, state = 9
Iteration 240: c = }, s = etsrt, state = 9
Iteration 241: c = {, s = rsttt, state = 9
Iteration 242: c = [, s = strse, state = 9
Iteration 243: c = [, s = strrs, state = 9
Iteration 244: c = {, s = etree, state = 9
Iteration 245: c = }, s = rsttt, state = 9
Iteration 246: c = ), s = rtets, state = 9
Iteration 247: c = [, s = rrres, state = 9
Iteration 248: c = x, s = errse, state = 9
Iteration 249: c = x, s = tsstt, state = 9
Iteration 250: c =  , s = ttsts, state = 9
Iteration 251: c = ], s = strts, state = 9
Iteration 252: c =  , s = rtsrr, state = 9
Iteration 253: c = [, s = eeest, state = 9
Iteration 254: c = [, s = etrts, state = 9
Iteration 255: c = a, s = tstse, state = 9
Iteration 256: c =  , s = ttrrs, state = 9
Iteration 257: c = [, s = stset, state = 9
Iteration 258: c = {, s = settt, state = 9
Iteration 259: c = x, s = srsst, state = 9
Iteration 260: c = a, s = stsee, state = 9
Iteration 261: c = }, s = srstr, state = 9
Iteration 262: c =  , s = strrr, state = 9
Iteration 263: c = ], s = ssree, state = 9
Iteration 264: c = [, s = rttss, state = 9
Iteration 265: c = {, s = trsee, state = 9
Iteration 266: c =  , s = ettts, state = 9
Iteration 267: c = (, s = rrtrr, state = 9
Iteration 268: c = a, s = rserr, state = 9
Iteration 269: c = (, s = rrstt, state = 9
Iteration 270: c = ], s = ssrrt, state = 9
Iteration 271: c = ], s = trrtr, state = 9
Iteration 272: c = (, s = trtse, state = 9
Iteration 273: c = x, s = eesse, state = 9
Iteration 274: c = }, s = retse, state = 9
Iteration 275: c = a, s = strsr, state = 9
Iteration 276: c = {, s = ttrrs, state = 9
Iteration 277: c = }, s = terst, state = 9
Iteration 278: c = x, s = srses, state = 9
Iteration 279: c =  , s = ttese, state = 9
Iteration 280: c = [, s = rrsrs, state = 9
Iteration 281: c = ), s = rsers, state = 9
Iteration 282: c = [, s = reert, state = 9
Iteration 283: c = (, s = ssert, state = 9
Iteration 284: c = ), s = rstse, state = 9
Iteration 285: c = {, s = rerss, state = 9
Iteration 286: c = }, s = rsess, state = 9
Iteration 287: c = ), s = ssrts, state = 9
Iteration 288: c = ], s = rrese, state = 9
Iteration 289: c = {, s = setet, state = 9
Iteration 290: c = a, s = eress, state = 9
Iteration 291: c = }, s = etese, state = 9
Iteration 292: c = a, s = etees, state = 9
Iteration 293: c = {, s = rtrse, state = 9
Iteration 294: c = }, s = stter, state = 9
Iteration 295: c =  , s = eestt, state = 9
Iteration 296: c = ], s = srrrs, state = 9
Iteration 297: c = }, s = ttrer, state = 9
Iteration 298: c =  , s = eeeet, state = 9
Iteration 299: c = }, s = teest, state = 9
Iteration 300: c = x, s = rrttt, state = 9
Iteration 301: c = x, s = rstrs, state = 9
Iteration 302: c = a, s = eeees, state = 9
Iteration 303: c = ), s = ttsee, state = 9
Iteration 304: c = [, s = trtes, state = 9
Iteration 305: c = x, s = sssee, state = 9
Iteration 306: c = a, s = rerte, state = 9
Iteration 307: c = ], s = rstet, state = 9
Iteration 308: c = a, s = tteer, state = 9
Iteration 309: c = ], s = ttssr, state = 9
Iteration 310: c = {, s = rttsr, state = 9
Iteration 311: c =  , s = rrsrt, state = 9
Iteration 312: c = (, s = srsse, state = 9
Iteration 313: c = ), s = rrres, state = 9
Iteration 314: c = }, s = rerst, state = 9
Iteration 315: c = {, s = tttse, state = 9
Iteration 316: c =  , s = ssrrs, state = 9
Iteration 317: c = x, s = rerst, state = 9
Iteration 318: c =  , s = ttsrr, state = 9
Iteration 319: c = }, s = rrert, state = 9
Iteration 320: c = x, s = estrr, state = 9
Iteration 321: c = {, s = rsset, state = 9
Iteration 322: c = [, s = etsee, state = 9
Iteration 323: c = }, s = srrrr, state = 9
Iteration 324: c = x, s = reeee, state = 9
Iteration 325: c = ], s = essrt, state = 9
Iteration 326: c = ), s = etrtr, state = 9
Iteration 327: c =  , s = resss, state = 9
Iteration 328: c = ), s = terte, state = 9
Iteration 329: c = }, s = rseet, state = 9
Iteration 330: c = }, s = eeete, state = 9
Iteration 331: c = ], s = esres, state = 9
Iteration 332: c = {, s = esste, state = 9
Iteration 333: c = [, s = tretr, state = 9
Iteration 334: c = }, s = treee, state = 9
Iteration 335: c = ), s = rseee, state = 9
Iteration 336: c = a, s = ssest, state = 9
Iteration 337: c = {, s = srsrr, state = 9
Iteration 338: c = a, s = ettss, state = 9
Iteration 339: c = ), s = eetss, state = 9
Iteration 340: c = }, s = tssrr, state = 9
Iteration 341: c = ), s = tseer, state = 9
Iteration 342: c = ), s = rsest, state = 9
Iteration 343: c = (, s = erres, state = 9
Iteration 344: c = (, s = rrrrs, state = 9
Iteration 345: c = ), s = reets, state = 9
Iteration 346: c =  , s = setrs, state = 9
Iteration 347: c = ], s = etese, state = 9
Iteration 348: c = ], s = rtrrr, state = 9
Iteration 349: c = }, s = trttr, state = 9
Iteration 350: c = (, s = eetsr, state = 9
Iteration 351: c = {, s = tssss, state = 9
Iteration 352: c = x, s = etrts, state = 9
Iteration 353: c = [, s = tsrrs, state = 9
Iteration 354: c = (, s = teesr, state = 9
Iteration 355: c = ], s = tsssr, state = 9
Iteration 356: c = (, s = tress, state = 9
Iteration 357: c = }, s = trttt, state = 9
Iteration 358: c = ], s = rstes, state = 9
Iteration 359: c = x, s = eetst, state = 9
Iteration 360: c = ), s = rtese, state = 9
Iteration 361: c = [, s = eesst, state = 9
Iteration 362: c =  , s = esrre, state = 9
Iteration 363: c = x, s = eesrs, state = 9
Iteration 364: c = [, s = srses, state = 9
Iteration 365: c = ], s = rsrse, state = 9
Iteration 366: c =  , s = rstsr, state = 9
Iteration 367: c = (, s = serts, state = 9
Iteration 368: c = [, s = stsrr, state = 9
Iteration 369: c =  , s = esett, state = 9
Iteration 370: c = ], s = rtsee, state = 9
Iteration 371: c = ], s = teest, state = 9
Iteration 372: c = ), s = rssre, state = 9
Iteration 373: c = a, s = etrtr, state = 9
Iteration 374: c = x, s = reser, state = 9
Iteration 375: c = a, s = errte, state = 9
Iteration 376: c = }, s = srtts, state = 9
Iteration 377: c = (, s = rsess, state = 9
Iteration 378: c = x, s = ttett, state = 9
Iteration 379: c = x, s = ttsee, state = 9
Iteration 380: c = ), s = sstse, state = 9
Iteration 381: c = [, s = rters, state = 9
Iteration 382: c = ], s = tssrr, state = 9
Iteration 383: c = ], s = strts, state = 9
Iteration 384: c =  , s = eests, state = 9
Iteration 385: c =  , s = sreet, state = 9
Iteration 386: c = x, s = etest, state = 9
Iteration 387: c = {, s = ssers, state = 9
Iteration 388: c = a, s = rrerr, state = 9
Iteration 389: c = }, s = teesr, state = 9
Iteration 390: c = x, s = esrtt, state = 9
Iteration 391: c = ], s = eettt, state = 9
Iteration 392: c = (, s = seere, state = 9
Iteration 393: c = ], s = ssrts, state = 9
Iteration 394: c =  , s = tseer, state = 9
Iteration 395: c = }, s = eerer, state = 9
Iteration 396: c = (, s = esrre, state = 9
Iteration 397: c = ], s = stett, state = 9
Iteration 398: c = a, s = teete, state = 9
Iteration 399: c = a, s = trere, state = 9
Iteration 400: c = [, s = ester, state = 9
Iteration 401: c = a, s = eeeee, state = 9
Iteration 402: c = ), s = etstt, state = 9
Iteration 403: c =  , s = sstte, state = 9
Iteration 404: c = ], s = srrrr, state = 9
Iteration 405: c = ], s = eerrt, state = 9
Iteration 406: c = {, s = rreee, state = 9
Iteration 407: c = x, s = rtsss, state = 9
Iteration 408: c = ), s = trtst, state = 9
Iteration 409: c = [, s = serte, state = 9
Iteration 410: c = ], s = eteet, state = 9
Iteration 411: c = {, s = strte, state = 9
Iteration 412: c = ), s = seert, state = 9
Iteration 413: c = ], s = estre, state = 9
Iteration 414: c = ], s = rttrs, state = 9
Iteration 415: c = ], s = rtree, state = 9
Iteration 416: c = ], s = sttss, state = 9
Iteration 417: c = x, s = rreer, state = 9
Iteration 418: c = a, s = reste, state = 9
Iteration 419: c =  , s = eetee, state = 9
Iteration 420: c = a, s = seest, state = 9
Iteration 421: c = ), s = eeert, state = 9
Iteration 422: c = }, s = rrree, state = 9
Iteration 423: c =  , s = essre, state = 9
Iteration 424: c = a, s = ttesr, state = 9
Iteration 425: c = x, s = rsrer, state = 9
Iteration 426: c = ], s = terrs, state = 9
Iteration 427: c = {, s = tsttr, state = 9
Iteration 428: c = ), s = retse, state = 9
Iteration 429: c = (, s = eetst, state = 9
Iteration 430: c =  , s = eteer, state = 9
Iteration 431: c = {, s = rttrt, state = 9
Iteration 432: c = (, s = tttts, state = 9
Iteration 433: c = a, s = rsetr, state = 9
Iteration 434: c = }, s = tsttr, state = 9
Iteration 435: c = [, s = sesrs, state = 9
Iteration 436: c = ), s = essrs, state = 9
Iteration 437: c =  , s = eseee, state = 9
Iteration 438: c = [, s = reser, state = 9
Iteration 439: c = {, s = rtrts, state = 9
Iteration 440: c = ], s = sesee, state = 9
Iteration 441: c =  , s = rstst, state = 9
Iteration 442: c = x, s = rrree, state = 9
Iteration 443: c = ], s = esstt, state = 9
Iteration 444: c = ], s = etest, state = 9
Iteration 445: c = ], s = teees, state = 9
Iteration 446: c = a, s = ssrse, state = 9
Iteration 447: c = }, s = rerrt, state = 9
Iteration 448: c = ), s = erttt, state = 9
Iteration 449: c = x, s = ersss, state = 9
Iteration 450: c = x, s = settt, state = 9
Iteration 451: c =  , s = eerst, state = 9
Iteration 452: c = a, s = etset, state = 9
Iteration 453: c = }, s = trest, state = 9
Iteration 454: c = }, s = erert, state = 9
Iteration 455: c = x, s = eeere, state = 9
Iteration 456: c = x, s = ssesr, state = 9
Iteration 457: c = [, s = tsret, state = 9
Iteration 458: c = x, s = tsrre, state = 9
Iteration 459: c =  , s = esrss, state = 9
Iteration 460: c = {, s = eresr, state = 9
Iteration 461: c = [, s = ssrrr, state = 9
Iteration 462: c = ), s = ettee, state = 9
Iteration 463: c = (, s = eresr, state = 9
Iteration 464: c = ), s = serst, state = 9
Iteration 465: c = }, s = settt, state = 9
Iteration 466: c = a, s = esses, state = 9
Iteration 467: c = }, s = stser, state = 9
Iteration 468: c = [, s = rster, state = 9
Iteration 469: c = ], s = tsetr, state = 9
Iteration 470: c = }, s = sseee, state = 9
Iteration 471: c =  , s = esttr, state = 9
Iteration 472: c = {, s = esrtr, state = 9
Iteration 473: c = ), s = srsee, state = 9
Iteration 474: c = a, s = errst, state = 9
Iteration 475: c =  , s = sstrt, state = 9
Iteration 476: c = a, s = ertrt, state = 9
Iteration 477: c = }, s = eeser, state = 9
Iteration 478: c = a, s = etsrr, state = 9
Iteration 479: c = ], s = settt, state = 9
Iteration 480: c = }, s = rsrts, state = 9
Iteration 481: c = {, s = rtrrt, state = 9
Iteration 482: c = x, s = treee, state = 9
Iteration 483: c =  , s = tsres, state = 9
Iteration 484: c =  , s = restr, state = 9
Iteration 485: c = a, s = srrst, state = 9
Iteration 486: c = [, s = sretr, state = 9
Iteration 487: c = x, s = ttrre, state = 9
Iteration 488: c = }, s = ertss, state = 9
Iteration 489: c = ], s = tstes, state = 9
Iteration 490: c = ), s = trtts, state = 9
Iteration 491: c = a, s = eessr, state = 9
Iteration 492: c = x, s = stsst, state = 9
Iteration 493: c = [, s = trtts, state = 9
Iteration 494: c = ), s = eerrt, state = 9
Iteration 495: c = [, s = tssss, state = 9
Iteration 496: c =  , s = rtets, state = 9
Iteration 497: c = ], s = errtt, state = 9
Iteration 498: c = ), s = ssrse, state = 9
Iteration 499: c = a, s = tsrts, state = 9
Iteration 500: c = }, s = eeett, state = 9
Iteration 501: c = [, s = rrtet, state = 9
Iteration 502: c =  , s = tretr, state = 9
Iteration 503: c =  , s = tsttr, state = 9
Iteration 504: c = x, s = ertet, state = 9
Iteration 505: c = }, s = retsr, state = 9
Iteration 506: c = [, s = ersrs, state = 9
Iteration 507: c = }, s = eestr, state = 9
Iteration 508: c = a, s = ttrss, state = 9
Iteration 509: c = [, s = trese, state = 9
Iteration 510: c = [, s = tsesr, state = 9
Iteration 511: c = (, s = eests, state = 9
Iteration 512: c =  , s = etets, state = 9
Iteration 513: c = {, s = eseer, state = 9
Iteration 514: c = a, s = strte, state = 9
Iteration 515: c = [, s = retet, state = 9
Iteration 516: c =  , s = tresr, state = 9
Iteration 517: c = x, s = sesrr, state = 9
Iteration 518: c = (, s = setts, state = 9
Iteration 519: c = x, s = tettr, state = 9
Iteration 520: c = }, s = erers, state = 9
Iteration 521: c = ), s = reeet, state = 9
Iteration 522: c = }, s = rssss, state = 9
Iteration 523: c = a, s = trtst, state = 9
Iteration 524: c = x, s = sttes, state = 9
Iteration 525: c =  , s = etrtr, state = 9
Iteration 526: c = {, s = rrtee, state = 9
Iteration 527: c = a, s = teeet, state = 9
Iteration 528: c = [, s = rttte, state = 9
Iteration 529: c = (, s = eterr, state = 9
Iteration 530: c = }, s = rstre, state = 9
Iteration 531: c = {, s = setes, state = 9
Iteration 532: c = ], s = reeet, state = 9
Iteration 533: c = a, s = rtrts, state = 9
Iteration 534: c = ), s = sretr, state = 9
Iteration 535: c = ], s = trttr, state = 9
Iteration 536: c = (, s = ssesr, state = 9
Iteration 537: c = {, s = srers, state = 9
Iteration 538: c = x, s = estes, state = 9
Iteration 539: c = ), s = srstt, state = 9
Iteration 540: c = x, s = ettrs, state = 9
Iteration 541: c = a, s = ersss, state = 9
Iteration 542: c = ], s = sesre, state = 9
Iteration 543: c = (, s = rstrt, state = 9
Iteration 544: c = ], s = seere, state = 9
Iteration 545: c = x, s = sstes, state = 9
Iteration 546: c = }, s = etsts, state = 9
Iteration 547: c = a, s = eretr, state = 9
Iteration 548: c = x, s = rerte, state = 9
Iteration 549: c = x, s = rteet, state = 9
Iteration 550: c = [, s = eeret, state = 9
Iteration 551: c = a, s = srsrt, state = 9
Iteration 552: c = }, s = errst, state = 9
Iteration 553: c = x, s = etses, state = 9
Iteration 554: c = a, s = essst, state = 9
Iteration 555: c = {, s = resrs, state = 9
Iteration 556: c = ], s = srere, state = 9
Iteration 557: c = }, s = rsrer, state = 9
Iteration 558: c = ], s = setrt, state = 9
Iteration 559: c =  , s = trres, state = 9
Iteration 560: c = ), s = ssers, state = 9
Iteration 561: c = [, s = srtte, state = 9
Iteration 562: c = (, s = resrs, state = 9
Iteration 563: c = {, s = rrrrr, state = 9
Iteration 564: c = }, s = sttsr, state = 9
Iteration 565: c = a, s = ssttt, state = 9
Iteration 566: c = (, s = sessr, state = 9
Iteration 567: c = [, s = srree, state = 9
Iteration 568: c = (, s = retre, state = 9
Iteration 569: c = (, s = rttts, state = 9
Iteration 570: c = ], s = ersrr, state = 9
Iteration 571: c = ], s = sssrr, state = 9
Iteration 572: c = }, s = ttttr, state = 9
Iteration 573: c = ), s = srssr, state = 9
Iteration 574: c = [, s = srter, state = 9
Iteration 575: c = (, s = eeere, state = 9
Iteration 576: c = ), s = etrrt, state = 9
Iteration 577: c = }, s = tstss, state = 9
Iteration 578: c = x, s = trtes, state = 9
Iteration 579: c = a, s = rrrts, state = 9
Iteration 580: c = x, s = rtest, state = 9
Iteration 581: c = {, s = teste, state = 9
Iteration 582: c = (, s = rrrts, state = 9
Iteration 583: c = (, s = tetss, state = 9
Iteration 584: c = {, s = ststs, state = 9
Iteration 585: c = ], s = tttee, state = 9
Iteration 586: c = (, s = rrrsr, state = 9
Iteration 587: c = [, s = rreet, state = 9
Iteration 588: c = [, s = tsese, state = 9
Iteration 589: c = }, s = rtsss, state = 9
Iteration 590: c = }, s = ssret, state = 9
Iteration 591: c = ], s = rtere, state = 9
Iteration 592: c = {, s = esest, state = 9
Iteration 593: c = a, s = sstte, state = 9
Iteration 594: c = [, s = seret, state = 9
Iteration 595: c = (, s = serss, state = 9
Iteration 596: c = ], s = ttsrt, state = 9
Iteration 597: c = ], s = sestt, state = 9
Iteration 598: c =  , s = retrr, state = 9
Iteration 599: c = }, s = rterr, state = 9
Iteration 600: c = ), s = tsetr, state = 9
Iteration 601: c = a, s = tttet, state = 9
Iteration 602: c = }, s = eette, state = 9
Iteration 603: c = a, s = rerre, state = 9
Iteration 604: c = ), s = rsrss, state = 9
Iteration 605: c = ], s = sesre, state = 9
Iteration 606: c = ], s = rrete, state = 9
Iteration 607: c = }, s = etses, state = 9
Iteration 608: c = a, s = rtrrt, state = 9
Iteration 609: c = {, s = etree, state = 9
Iteration 610: c = {, s = errtr, state = 9
Iteration 611: c = {, s = erest, state = 9
Iteration 612: c = (, s = treee, state = 9
Iteration 613: c = {, s = retrs, state = 9
Iteration 614: c = }, s = stese, state = 9
Iteration 615: c = }, s = estes, state = 9
Iteration 616: c = }, s = sttts, state = 9
Iteration 617: c = x, s = eests, state = 9
Iteration 618: c = [, s = tsess, state = 9
Iteration 619: c = ), s = retet, state = 9
Iteration 620: c =  , s = rrste, state = 9
Iteration 621: c =  , s = stres, state = 9
Iteration 622: c = (, s = trtst, state = 9
Iteration 623: c =  , s = ssttr, state = 9
Iteration 624: c = a, s = trsse, state = 9
Iteration 625: c = [, s = sssre, state = 9
Iteration 626: c = [, s = ertee, state = 9
Iteration 627: c = }, s = tesst, state = 9
Iteration 628: c = ), s = tetsr, state = 9
Iteration 629: c = ), s = tttse, state = 9
Iteration 630: c = a, s = rtssr, state = 9
Iteration 631: c = ], s = serss, state = 9
Iteration 632: c = [, s = resst, state = 9
